ID_Cliente,Nome_Cliente,Produto,Quantidade,Preco_Unitario,Data_Venda
69,Ana Souza,HD Externo,1,4157.36,2024-02-14
70,Fernanda Alves,Tablet,2,3868.44,2024-01-14
71,Beatriz Mendes,Tablet,3,4198.91,2024-02-13
72,Eduardo Silva,Cadeira Gamer,5,2138.69,2024-01-25
73,Diego Rocha,Mousepad,2,370.58,2024-02-20
74,João Pedro,SSD,5,4543.68,2024-02-02
75,Isabela Ferreira,Teclado,5,2681.49,2024-01-29
76,Isabela Ferreira,HD Externo,2,1153.38,2024-02-28
77,Isabela Ferreira,Mouse,2,485.69,2024-01-15
78,Beatriz Mendes,Notebook,4,2729.94,2024-01-08
79,Ana Souza,Tablet,4,862.85,2024-01-15
80,Eduardo Silva,Fone de Ouvido,4,937.58,2024-01-19
81,Isabela Ferreira,Mousepad,2,427.4,2024-01-07
82,Diego Rocha,Teclado,5,729.33,2024-02-04
83,Gabriel Santos,HD Externo,2,2794.39,2024-01-08
84,Gabriel Santos,Cadeira Gamer,3,974.96,2024-01-14
85,Beatriz Mendes,Tablet,2,1347.15,2024-02-07
86,Gabriel Santos,Cadeira Gamer,4,2800.37,2024-01-16
87,Diego Rocha,SSD,4,190.83,2024-01-15
88,João Pedro,Notebook,2,688.27,2024-02-16
89,Isabela Ferreira,SSD,2,3258.56,2024-02-05
90,Carlos Lima,Mousepad,4,4151.31,2024-02-21
91,Eduardo Silva,Mousepad,1,4923.34,2024-01-09
92,Helena Costa,Fone de Ouvido,3,4731.55,2024-01-30
93,Beatriz Mendes,Impressora,1,1103.25,2024-03-01
94,Carlos Lima,Notebook,5,2392.35,2024-01-13
95,Isabela Ferreira,Mousepad,2,3718.49,2024-02-04
96,Isabela Ferreira,HD Externo,4,483.79,2024-02-16
97,Helena Costa,Notebook,3,1415.06,2024-02-08
98,Eduardo Silva,SSD,4,2835.61,2024-02-03
99,Beatriz Mendes,Impressora,1,1803.97,2024-01-13
100,Fernanda Alves,Cadeira Gamer,3,3496.29,2024-02-28
101,Pedro Galvão,Mouse,12,100.0,2025-02-16
